Chicken Ham Hock and Leek Pie,24 x 260 G PK
Chicken Paste Bouillon,2 x 1 KG
Chicken Tikka Masala and Rice (Halal),12 x 350 G EA
Chicken Tikka Masala,12 x 300 G PK
Chicken Wings 45g,1 x 2.27 KG
Chilli Infused Oil,1 LTR BOT
Chilli Tortilla Chips,12 x 475 G PK
Chocolate Cheesecake,14 PTN Box
Chocolate Ice Cream,5 LTR
Chocolate Sauce,500 G
Chocolate and Clementine Torte,1 x 14 PTN
Chopped Tomatoes,6 x 2.5 KG
Classic Burger Sauce,6 x 875 ML PK
Clear Blossom Honey Glass,6 x 454 G PK
Clear Blossom Honey,6 x 680 G PK
Clotted Cream,907 G PK
Coated Thin Cut Fries Skin,4 x 2.5 Kg pk
Cobbs Double Chocolate Brownie,1 x 20 Box
Coco Pops,4 x 500 G PK
Coconut Milk Standard,12 x 400 ML
Concentrated Hoisin Sauce,2 x 1.1 LTR PK
Cooked Pigs in Blankets 15g,1.5 kg
Coriander,1 x 100 G
Corn Flakes Cereal,4 x 500 G Box
Corn Flakes Gluten Free Cereal,7 x 500 G PK
Coronet Assorted Cheese Portions,1 x 50x20 G PK
Coronet Pepper Portions,1 x 2000 SACH Box
Coronet Salt Portions,1 x 2000 EA Box
Cos Lettuce,1 x EA
Courgette Green,1 x 1 KG
Cous Cous Salad,1.5 KG PK
Cranberry Juice 1LTR,12 x 1 LTR CTN
Cranberry and Raspberry Tea Bags,20 PK
Cream of Leek Soup,6 x 25 PTN PK
Croissant 40G,165 x 40 G Box
Croutons,4 x 250 G PK
Crunchy Nut Cereal,4 x 500 G Box
Cucumber 35 - 40mm,1 x EA
Custard,1 KG
Dark Soy Sauce,12 x 150 ML
Demerara Sugar Cubes,1 KG
Digestive Biscuits,12 x 400 G PK
Double Cream,4x2.27 LTR PK
Double Gloucester,1 KG PK
Dried Raisins,3 KG
Egg Noodles,1 x 3 KG Box
English Breakfast Decaffeinated Tea Bags,6 x 100 PK
English Breakfast Tea Bags,6 x 50 PK
English Muffin,8 x 6 pk
English Mustard Glass,8 x 100 G PK
Extra Virgin Olive Oil,2 LTR
FIVE LEAF MIX washed read to eat,4 x 250 G PK
Fancy Leaf lettuce lollo Rosso,1 x EA
Fish Batter Baking Mix,3.5 KG
Freeze Chill Julienne Fries,6 x 2.5 KG
French Dressing,2 x 2.27 LTR PK
Fried onions,10 x 500 G PK
Frozen Corn on the Cobs,24 x 2x250 G EA
Frozen Fruits of the Forest,1 KG
Frozen Fruits of the Forest,5 x 1 KG
Frozen Premium Guacamole.,6 x 1 KG PK
Frozen Shredded Duck,1 KG PK
Fruit Cake,90 x 43 G EA
Fusilli,3 KG PK
Garlic Prepacked,1 x 450 G
Garlic and Herb Croutons,4 x 250 G PK
Garlic and Herb Slices,135 x 30 G EA
Gastro Chunky Chips,4 x 2.27 KG PK
Gluten Free Cornflakes,20 x 25 G PK
Gluten Free Lemon and Ginger Shortbread,16 x 64 g pk
Gluten Free Panini Rolls,4 x 3x75 G PK
Gluten Free Vegan Gravy Granules,1.8 KG PK
Gluten Free Vegetable Bouillon Paste,2 x 1 KG TUB
Golden Syrup Porridge Pot,8 x 57 G POT
Granola,4 x 2 KG PK
Granulated Sugar,2 KG BAG
Grated Mozzarella Style Cheese,1 KG PK
Grated Mozzarella,1 KG PK
Grated Pizza Mix,2 KG PK
Green Chillies,1 x 250 G
Green Jalapeño Peppers,12 x 700 G PK
Green Jalapeño Peppers,700 G PK
Green Pesto,950 G PK
Green Tea Bags,12 x 20 PK
Ground Nutmeg,450 G BOT
Gyozas with Vegetables and Chicken,2 x 1.5 KG PK
HP Brown Sauce Glass Jar,80 x 33 ML JAR
Halloumi,10 x 250 G PK
Ham Croquettes,6 x 1 KG Box
Ham Hock and Pea Terrine,3 x 500 G PK
Hamburger Relish,2 x 2.4 KG PK
Hash Browns,10 x 1 KG
Hash Browns,4 x 2.5 KG PK
Hereford Burger,48 x 170 G PK
Hollandaise Sauce,1 LTR
Honey Glazed Roast Parsnips,4 x 2.5 KG PK
Honey,72 x 28 G
Hovis White Bread Medium Square,800 G EA
Hovis White Bread Thick Square,800 G EA
Hovis Wholemeal Bread Medium,800 G EA
Hovis Wholemeal Bread Thick,800 G EA
Icing Sugar,3 KG
Instant Hot Chocolate,10 x 1 KG PK
Jacket Baking Potatoes 40 per box,1 x 15 KG
Jasmine Rice,1 x 5 KG PK
Lemons x Pack of 5 OK822s,1 x 5 EA PK
Lime Juice,1 LTR PK
Lime Loose Pack,1 x 12 EA
Macaroni,3 KG PK
Mango Chutney,1 x 2 KG PK
Maple Flavoured Syrup Bottle,6 x 454 G EA
Mascarpone,500 G EA
Mash Potato,4 x 2.5 KG PK
Mayonnaise Glass Jar (Free Range Egg),80 x 33 ML
Mayonnaise,2 x 2.15ltr PK
Mayonnaise,8 x 430 ML PK
Meatballs 12g,1 x 4 Kg pk
Medium Fresh Eggs,1 x 180 pk
Medium Roast Coffee Beans,6 x 1 KG PK
Meringue Nests 3in,1 x 72 PK
Micro Leaf Salad Mix,1 x 1 PK
Mild White Cheddar Cheese Slices Red Tractor,1 KG
Mild White Cheddar Slices,1 Kg pk
Millac Gold Double Cream,1 LTR
Mini Broche Burger Roll,2 x 50 EA PK
Mini Corn Cobs,1 KG BAG
Mini Pain aux Raisins,1 x 150 pk
Mini Roll Mix 40g,75 x 40 G
Mini Round Garlic and Coriander Naan,16 x 6X35 G PK
Mixed Bean Salad in Water,6 x 800 G
Mixed Capsicum Peppers 70-90mm,10 x 3 EA
Moma No Added Sugar Porridge Original,12 x 65 G PK
Moving Mountains Plant-Based Burger 4oz,20 x 113.5 G PK
Muesli,4 x 2 KG
Mushy Peas,6 x 850 G CAN
Mustard Glass Jar,80 x 33 ML
Ncgi Vanilla Cheesecake With Granola Base,
New York Style Vanilla Cheesecake,1 x 12 PTN
Nutella - Nutella Portions,120 x 15G
Oat Drink Barista Edition,6 x 1 LTR PK
Olives,1 KG TUB
Onion Bhajis,50x35 G PK
Orange Juice Cartons,24 x 200 ML PK
Orange Juice Re-Seal,12 x 1 Ltr pk
Orange Marmalade,72 x 28 G
Organic White Half Baguette 26cm,1 x 60x110 G
Original Tortilla Chips,12 x 475 G PK
Oyster Sauce,2 x 2.31 KG BOT
Pain Au Chocolate 28G,260 x 28 G Box
Pain au Chocolat,60 x 75 g pk
Panini Chicken Chorizo and Roasted Peppers,20 x 223 G PK
Panini Mozzarella Pesto and Sun-Dried Tomato,20 x 179 g pk
Panko Breaded Onion Rings,1 x 2 Kg pk
Panko Halloumi Fries,1 KG PK
Parsley Flat,1 x 100 G
Parsnips,10 x 1 kg
Peeled Plum Tomatoes,6 x 2.5 KG
Penne Rigate,3 KG PK
Pepper Sauce,1 LTR
Peppermint Tea Bags,12 x 20 PK
Perdix Homestyle Chicken Goujons Halal 35g,1 x 3 KG Box
Philadelphia Portions 16.7g,24x16.7 G PK
Pine Kernels,1 KG
Pinguin Basmati Rice,36 x 200 G BAG
Piri Piri Seasoning,6 x 320 G
Pitted Black Olives,2 x 2.26 KG
Pitted Prunes,3 KG
Pizza Sauce Pouch,3 KG PK
Plain Scones,6 x 10x60 G
Plain White Flour,6 x 1.5 KG
Portabello Mushroom,1 x 1.45 KG
Portions,100 x 10 G PK
Potatoes (Washed),1 x 25 KG
Product,Quantity
Pumpkin Seeds,6 x 430 G PK
Pure Canadian Maple Syrup,620 G Box
Quaker Oat So Simple Original Porridge Pot,8 x 45 G PK
Quaker Porridge Oats,3 KG
Quorn Vegan Cumberland Sausage,2 KG PK
Quorn Vegan Cumberland Sausage,5 x 2 KG PK
ROCKET LEAF SALAD washed read to eat,5 x 250 G PK
Ramona's Kitchen Houmous,1 KG PK
Ranch Salsa Hot Sauce,2.3 KG
Raspberry Jam,2.72 KG
Real Crisps Sea Salt Hand Cooked Potato Crisps,48 x 35 G
Red Cooking Wine,2 x 5 LTR PK
Red Kidney Beans,6 x 800 G
Red Onion,1 x 10 KG
Red Pepper and Tomato Soup,12 x 250 ML
Red Wine Sauce,1 LTR PK
Roasted Chicken Breast Fillets 125g,2.5 KG BAG
Round Tomatoes 1m (57-67mm),1 x 6 KG
Salt and Pepper Squid Chunks,6 x 1 KG PK
Salted Butter Portions,5 x 100 PK
Sausage Roll,60 x 120 g pk
Sea Salt,1 x 1.4 KG TUB
Self Raising Flour,6 x 1.5 KG
Semi Skimmed Milk Bottle,2 LTR PK
Semi Skimmed Milk Bottle,4 x 2 LTR PK
Semi-Skimmed Milk Carton,27 x 200 ML CTN
Set Soured Cream,2 KG
Sliced Cheddar Style Cheese,1 KG PK
Sliced Dill Gherkins,2 x 2.45 KG
Smoked Salmon,500 G
Sourdough Country Loaf,800 G PK
Soya Barista For Professionals,12 x 1 LTR PK
Spaghetti,4 x 3 KG PK
Special K Bag-Pack,4 x 500 G
Steak and Ale Pie,24x270G EA PK
Sticky Korean Barbeque Sauce,875 ML PK
Strawberries and Bananas Smoothie Bottle,8 x 250 ML
Strawberry Jam,2.72 KG
Strawberry Jam,72 x 28 G
Sunflower Seeds,1 KG PK
Sunflower Spread,200 x 10 G
Sweet Chilli Sauce,1 LTR PK
Sweet Potato Chickpea and Spinach Curry,12 x 350 G PK
Sweet Potato Fries,4 x 2.50 KG PK
Sweet Potatoes x 2Kg Pack OK1479s,1 x 2 KG PK
Sweetcorn in Water,12 x 320 G PK
Tabasco Pepper Sauce (Glass),12 x 60 ML
Tartare Sauce,2 x 2.25 LTR
Tasty Toppers IQF Pepperoni Slices,1 KG PK
Thai Green Curry Paste,1.1 KG Box
Thai Red Curry Sauce,2 x 2.2 LTR
Thin Cut Fries,4 x 2.27 KG PK
Thin Cut Orange Marmalade,2.72 KG
Tikka Masala,2 x 2.2 LTR
Toasted Sesame Oil,1 LTR BOT
Toffee and Devon Cream Drizzle,500 G
Tomato Ketchup Glass Jars,80 x 39 G
Tomato Ketchup Plastic,2 x 2.15 LTR
Tomato Ketchup Squeezy Top Down,10 x 460 G BOT
Tomato Ketchup,2 x 2.27 LTR PK
Tomato Paste,12 x 800 G PK
Tomato Soup,12 x 250 ML
Tomato and Basil Sauce,2 x 2.2 LTR
Tuna Chunks in Brine,6 x 800 G
Vanilla Ice Cream,5 LTR
Vegan Coconut and Chocolate Tart,1 x 14 PTN PK
Vegan Garlic Mayo,6 x 1 LTR EA
Vegetable Oil,1 x 20 LTR
Vegetable Paste Bouillon,2 x 1 KG
Vegetable Samosas,48 X 90G PK
Vegetable Sausages,30 x 56 G PK
Vegetable Spring Rolls,2 x 40x90 G PK
Vegetarian Grated Hard Cheese,1 KG PK
Vinegar Bottle,12 x 300 ML
Walnut Halves,1 x 1 KG
Weetabix Cereal Portion,1 x 96 EA PK
White Chocolate and Raspberry Cheesecake,1 x 14 Ptn Box
White Cooking Wine,2 x 5 LTR PK
White Pitta Bread,6 x 6x60 g pk
White Wine Vinegar,2 x 5 LTR BOT
White sugar sticks,1 x 1000 EA Box
Whole Black Peppercorn,6 x 500 G BOT
Whole Hand Pitted Dates,3 KG
Whole Liquid Egg,12 x 1 KG CTN
Whole Pink Peppercorns,200 G Box
Whole Pitted Apricots,3 KG
